sourceTaxonId	sourceTaxonName	sourceTaxonSex	sourceTaxonLifestage	sourceTaxoncollid	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	targetTaxonSex	targetTaxonLifestage	targetTaxoncollid	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
EOL:1049085	Buteo swainsoni	http://purl.obolibrary.org/obo/PATO_0000383	http://purl.obolibrary.org/obo/PATO_0001501	http://arctos.database.museum/guid/DMNS:Bird:34728	RO:0002470	Eats	EOL:999163	Ictidomys tridecemlineatus			http://arctos.database.museum/guid/DMNS:Mamm:13200	GEONAMES:5579368	Loveland, Taft Avenue north of 57th, Colorado, United States	40.454918	-105.096498	2012-08-10	doi:10.15468/t3bsxx	Spellman G (2017). DMNS Bird Collection (Arctos). Version 34.3. Denver Museum of Nature & Science. Occurrence Dataset https://doi.org/10.15468/t3bsxx accessed via GBIF.org on 2017-06-12.
EOL:1049085	Buteo swainsoni	http://purl.obolibrary.org/obo/PATO_0000383	http://purl.obolibrary.org/obo/PATO_0001501	http://arctos.database.museum/guid/DMNS:Bird:34728	RO:0002470	Eats	EOL:34264	Microtus			http://arctos.database.museum/guid/DMNS:Mamm:13201	GEONAMES:5579368	Loveland, Taft Avenue north of 57th, Colorado, United States	40.454918	-105.096498	2012-08-10	doi:10.15468/t3bsxx	Spellman G (2017). DMNS Bird Collection (Arctos). Version 34.3. Denver Museum of Nature & Science. Occurrence Dataset https://doi.org/10.15468/t3bsxx accessed via GBIF.org on 2017-06-12.
EOL:1049085	Buteo swainsoni	http://purl.obolibrary.org/obo/PATO_0000383		http://arctos.database.museum/guid/MSB:Bird:12955	RO:0002470	Eats	EOL:8703	Sciuridae			http://arctos.database.museum/guid/MSB:Mamm:281134	GEONAMES:5843591	[ca. 3 mi. N. Highlight], Wyoming, United States			1981-08-25	doi:10.15468/fyumof	Witt C (2017). MSB Bird Collection (Arctos). Version 35.3. Museum of Southwestern Biology. Occurrence Dataset https://doi.org/10.15468/fyumof accessed via GBIF.org on 2017-06-12.
EOL:1265868	Buteo jamaicensis harlani	http://purl.obolibrary.org/obo/PATO_0000383		http://arctos.database.museum/guid/MSB:Host:11381	RO:0002470	Eats	EOL:1037785	Myodes rutilus			http://arctos.database.museum/guid/MSB:Mamm:270712	GEONAMES:5879400	10 mi S Anchorage, Alaska, United States	61.073634	-149.900278	1959-05-04	doi:10.15468/5o0fct	Brant S (2017). MSB Host Collection (Arctos). Version 34.3. Museum of Southwestern Biology. Occurrence Dataset https://doi.org/10.15468/5o0fct accessed via GBIF.org on 2017-06-12.
EOL:1269634	Bubo virginianus pacificus			http://arctos.database.museum/guid/MVZ:Bird:183644	RO:0002470	Eats	EOL:1049046	Accipiter cooperii		http://purl.obolibrary.org/obo/PATO_0001190	http://arctos.database.museum/guid/MVZ:Bird:183643	GEONAMES:5324040	junction of White Cottage Rd. N and Ink Grade Rd., Angwin, California, United States	38.5943	-122.4428	1925-07-30	doi:10.15468/r1woj3	Cicero C (2017). MVZ Bird Collection (Arctos). Version 43.3. Museum of Vertebrate Zoology. Occurrence Dataset https://doi.org/10.15468/r1woj3 accessed via GBIF.org on 2017-06-12.
EOL:328608	Canis latrans	http://purl.obolibrary.org/obo/PATO_0000383		http://arctos.database.museum/guid/DMNS:Mamm:16468	RO:0002470	Eats	EOL:34264	Microtus	http://purl.obolibrary.org/obo/PATO_0000384		http://arctos.database.museum/guid/DMNS:Mamm:17521	GEONAMES:5579368	Loveland, 3100 East Eisenhower Road, Colorado, United States	40.407043	-105.020862	2016-04-15	doi:10.15468/bqvk9g	Demboski J (2017). DMNS Mammal Collection (Arctos). Version 34.3. Denver Museum of Nature & Science. Occurrence Dataset https://doi.org/10.15468/bqvk9g accessed via GBIF.org on 2017-06-12.
EOL:328608	Canis latrans	http://purl.obolibrary.org/obo/PATO_0000383		http://arctos.database.museum/guid/DMNS:Mamm:16468	RO:0002470	Eats	EOL:34264	Microtus	http://purl.obolibrary.org/obo/PATO_0000384		http://arctos.database.museum/guid/DMNS:Mamm:17522	GEONAMES:5579368	Loveland, 3100 East Eisenhower Road, Colorado, United States	40.407043	-105.020862	2016-04-15	doi:10.15468/bqvk9g	Demboski J (2017). DMNS Mammal Collection (Arctos). Version 34.3. Denver Museum of Nature & Science. Occurrence Dataset https://doi.org/10.15468/bqvk9g accessed via GBIF.org on 2017-06-12.
EOL:718127	Sorex monticolus	http://purl.obolibrary.org/obo/PATO_0000384		http://arctos.database.museum/guid/MSB:Mamm:232485	RO:0002470	Eats	EOL:718127	Sorex monticolus	http://purl.obolibrary.org/obo/PATO_0000384		http://arctos.database.museum/guid/MSB:Mamm:232537	GEONAMES:5879092	Alaska, United States	55.1372	-132.741	2011-08-08	doi:10.15468/oirgxw	Cook J (2017). MSB Mammal Collection (Arctos). Version 35.3. Museum of Southwestern Biology. Occurrence Dataset https://doi.org/10.15468/oirgxw accessed via GBIF.org on 2017-06-12.
EOL:8636	Hypogastruridae			http://arctos.database.museum/guid/KNWR:Ento:7296	RO:0002470	Eats	EOL:16677	Clitocybe			http://arctos.database.museum/guid/KNWR:Herb:7295	GEONAMES:5874678	Soldotna. Keen Eye Trail near Headquarters Lake., Alaska, United States	60.46445	-151.07057	2011-08-09	doi:10.15468/8tapde	KNWR Entomology Collection. Arctos. Occurrence Dataset https://doi.org/10.15468/8tapde accessed via GBIF.org on 2017-06-12.
EOL:914958	Bubo virginianus	http://purl.obolibrary.org/obo/PATO_0000383	http://www.ebi.ac.uk/efo/EFO_0001272	http://arctos.database.museum/guid/DMNS:Bird:34883	RO:0002470	Eats	EOL:328436	Reithrodontomys megalotis	http://purl.obolibrary.org/obo/PATO_0000384		http://arctos.database.museum/guid/DMNS:Mamm:9077	GEONAMES:5579153	Livermore, Highway 287, Colorado, United States	40.794434	-105.216541	2012-01-03	doi:10.15468/t3bsxx	Spellman G (2017). DMNS Bird Collection (Arctos). Version 34.3. Denver Museum of Nature & Science. Occurrence Dataset https://doi.org/10.15468/t3bsxx accessed via GBIF.org on 2017-06-12.
